0;0.1;
100;0.52;
200;0.94;
300;0.82;
400;0.82;
500;0.88;
600;0.9;
700;0.94;
800;0.9;
900;0.98;
1000;0.88;
1100;0.98;
1200;0.92;
1300;0.92;
1400;0.96;
1500;0.94;
1600;0.94;
1700;0.92;
1800;0.96;
1900;0.98;
2000;0.98;
2100;1;
2200;0.98;
2300;0.94;
2400;0.96;
2500;0.98;
2600;0.98;
2700;0.96;
2800;0.94;
2900;0.96;
3000;0.98;
3100;0.98;
3200;0.96;
3300;0.96;
3400;0.94;
3500;0.94;
3600;0.92;
3700;1;
3800;0.96;
3900;0.94;
4000;1;
4100;0.96;
4200;1;
4300;1;
4400;1;
4500;1;
4600;1;
4700;1;
4800;0.98;
4900;0.98;
5000;0.98;
5100;0.98;
5200;0.98;
5300;1;
5400;1;
5500;1;
5600;0.98;
5700;0.94;
5800;1;
5900;0.98;
6000;1;
6100;0.98;
6200;1;
6300;0.98;
6400;0.96;
6500;0.94;
6600;0.98;
6700;0.98;
6800;1;
6900;1;
7000;0.98;
7100;1;
7200;0.92;
7300;1;
7400;0.98;
7500;0.96;
7600;0.96;
7700;1;
7800;0.98;
7900;1;
8000;0.98;
8100;1;
8200;1;
8300;1;
8400;0.98;
8500;0.98;
8600;1;
8700;0.98;
8800;1;
8900;0.98;
9000;0.96;
9100;0.98;
9200;1;
9300;1;
9400;1;
9500;1;
9600;1;
9700;0.98;
9800;0.96;
9900;1;
10000;1;
10100;1;
10200;1;
10300;1;
10400;1;
10500;1;
10600;1;
10700;1;
10800;1;
10900;1;
11000;0.98;
11100;0.98;
11200;0.94;
11300;0.98;
11400;0.98;
11500;0.98;
11600;0.98;
11700;1;
11800;1;
11900;1;
12000;1;
12100;1;
12200;0.98;
12300;1;
12400;0.98;
12500;1;
12600;1;
12700;0.98;
12800;1;
12900;0.98;
13000;1;
13100;1;
13200;1;
13300;1;
13400;1;
13500;0.98;
13600;1;
13700;1;
13800;1;
13900;0.98;
14000;1;
14100;0.98;
14200;1;
14300;1;
14400;0.98;
14500;1;
14600;1;
14700;1;
14800;0.96;
14900;0.98;
