0.0959999993443;
0.187999997661;
0.438000005484;
0.63599999845;
0.75000000596;
0.79999999404;
0.83599999547;
0.815999990702;
0.839999997616;
0.817999988794;
0.889999997616;
0.887999999523;
0.877999991179;
0.886000007391;
0.910000002384;
0.897999995947;
0.904000002146;
0.887999987602;
0.904000002146;
0.904000002146;
0.910000008345;
0.915999990702;
0.906000000238;
0.921999996901;
0.915999996662;
0.925999999046;
0.918000000715;
0.928000003099;
0.918000006676;
0.942000001669;
0.92199999094;
0.939999991655;
0.939999997616;
0.923999994993;
0.939999991655;
0.931999999285;
0.951999998093;
0.943999993801;
0.943999999762;
0.947999995947;
0.96400000453;
0.938000005484;
0.941999989748;
0.946000003815;
0.943999999762;
0.940000003576;
0.955999994278;
0.953999996185;
0.95000000596;
0.939999997616;
0.962000000477;
0.946000003815;
0.962000000477;
0.954000002146;
0.965999996662;
0.953999990225;
0.943999999762;
0.954000002146;
0.954000002146;
0.948000001907;
0.955999994278;
0.975999999046;
0.937999999523;
0.957999998331;
0.961999994516;
0.963999998569;
0.960000002384;
0.956000000238;
0.966000002623;
0.945999991894;
0.960000008345;
0.942000001669;
0.951999992132;
0.968000000715;
0.96400000453;
0.96400000453;
0.954000002146;
0.962000006437;
0.967999994755;
0.959999996424;
0.977999997139;
0.982000011206;
0.956000000238;
0.966000002623;
0.97800000906;
0.956000000238;
0.962000000477;
0.962000000477;
0.976000005007;
0.967999994755;
0.970000004768;
0.968000006676;
0.978000003099;
0.970000004768;
0.970000004768;
0.968000000715;
0.970000004768;
0.969999998808;
0.969999998808;
0.97800000906;
0.976000005007;
0.960000002384;
0.959999996424;
0.963999998569;
0.974000006914;
0.971999996901;
0.974000006914;
0.971999996901;
0.973999994993;
0.963999992609;
0.972000008821;
0.975999999046;
0.968000006676;
0.978000003099;
0.978000003099;
0.968000000715;
0.974000000954;
0.975999993086;
0.971999996901;
0.970000004768;
0.975999999046;
0.968000000715;
0.975999999046;
0.982000011206;
0.968000006676;
0.980000007153;
0.960000008345;
0.969999998808;
0.97800000906;
0.984000003338;
0.975999999046;
0.988000005484;
0.986000001431;
0.992000001669;
0.957999998331;
0.972000008821;
0.976000005007;
0.965999996662;
0.970000010729;
0.970000004768;
0.981999999285;
0.982000005245;
0.982000011206;
0.984000003338;
0.986000007391;
0.977999997139;
0.980000001192;
0.966000008583;
0.980000001192;
0.978000003099;
