0.108000000566;
0.302000000328;
0.61400000453;
0.73599999547;
0.821999996901;
0.833999991417;
0.84200001359;
0.86400000453;
0.881999993324;
0.905999988317;
0.9;
0.892000001669;
0.911999994516;
0.931999999285;
0.925999999046;
0.933999997377;
0.928000003099;
0.926000005007;
0.927999991179;
0.945999997854;
0.918000000715;
0.937999993563;
0.933999991417;
0.939999991655;
0.962000000477;
0.945999997854;
0.93599999547;
0.94999999404;
0.941999995708;
0.94999999404;
0.963999998569;
0.951999998093;
0.945999985933;
0.970000004768;
0.971999996901;
0.952000004053;
0.968000000715;
0.954000002146;
0.969999998808;
0.94999999404;
0.962000000477;
0.945999997854;
0.965999996662;
0.967999994755;
0.966000002623;
0.974000000954;
0.968000006676;
0.953999996185;
0.969999998808;
0.965999996662;
0.957999992371;
0.960000002384;
0.974000000954;
0.982000005245;
0.974000006914;
0.978000003099;
0.976000005007;
0.966000002623;
0.974000006914;
0.948000001907;
0.974000000954;
0.957999992371;
0.982000005245;
0.971999996901;
0.963999998569;
0.982000011206;
0.962000000477;
0.967999994755;
0.984000003338;
0.969999992847;
0.971999996901;
0.980000007153;
0.988000005484;
0.969999998808;
0.971999996901;
0.971999996901;
0.978000003099;
0.990000003576;
0.980000007153;
0.986000013351;
0.980000001192;
0.982000005245;
0.972000002861;
0.969999992847;
0.97800000906;
0.963999992609;
0.980000001192;
0.982000005245;
0.980000007153;
0.968000000715;
0.97800000906;
0.990000009537;
0.974000006914;
0.963999986649;
0.971999996901;
0.972000002861;
0.978000003099;
0.980000001192;
0.972000008821;
0.981999999285;
0.978000003099;
0.984000003338;
0.980000001192;
0.977999997139;
0.982000005245;
0.980000001192;
0.980000001192;
0.984000009298;
0.980000001192;
0.975999999046;
0.966000002623;
0.974000000954;
0.986000001431;
0.988000005484;
0.984000003338;
0.990000009537;
0.980000001192;
0.988000005484;
0.986000007391;
0.988000005484;
0.980000001192;
0.984000003338;
0.982000005245;
0.976000005007;
0.986000001431;
0.990000003576;
0.980000001192;
0.986000007391;
0.993999999762;
0.980000007153;
0.992000007629;
0.986000007391;
0.994000005722;
0.989999997616;
0.977999997139;
0.982000011206;
0.984000003338;
0.987999999523;
0.974000000954;
0.987999999523;
0.990000009537;
0.980000001192;
0.983999997377;
0.984000003338;
0.992000001669;
0.984000015259;
0.988000011444;
0.990000009537;
0.974000006914;
0.986000007391;
