0.26;0.2;0.2;0.28;0.14;0.1;0.16;0.18;0.1;0.14;0.1;0.12;0.2;0.12;0.28;0.34;0.14;0.18;0.1;0.02;0.2;0.12;0.18;0.3;0.18;0.06;0.2;0.32;0.04;0.2;
0.28;0.24;0.36;0.16;0.16;0.18;0.24;0.16;0.26;0.24;0.2;0.24;0.22;0.1;0.18;0.2;0.26;0.32;0.34;0.18;0.32;0.22;0.4;0.18;0.32;0.1;0.4;0.16;0.18;0.18;
0.26;0.38;0.3;0.38;0.36;0.42;0.42;0.42;0.42;0.46;0.26;0.26;0.36;0.32;0.28;0.28;0.38;0.32;0.34;0.36;0.32;0.46;0.46;0.36;0.64;0.26;0.52;0.32;0.34;0.44;
0.52;0.46;0.36;0.52;0.62;0.4;0.42;0.5;0.56;0.54;0.44;0.38;0.56;0.26;0.28;0.38;0.44;0.56;0.42;0.42;0.58;0.32;0.56;0.56;0.7;0.4;0.46;0.48;0.48;0.54;
0.5;0.66;0.56;0.48;0.5;0.7;0.56;0.64;0.64;0.6;0.54;0.5;0.52;0.46;0.5;0.52;0.58;0.44;0.36;0.62;0.56;0.52;0.58;0.54;0.48;0.4;0.62;0.6;0.58;0.44;
0.6;0.44;0.6;0.52;0.52;0.58;0.7;0.62;0.6;0.7;0.54;0.56;0.56;0.68;0.48;0.62;0.66;0.58;0.48;0.52;0.58;0.54;0.58;0.6;0.8;0.58;0.58;0.64;0.62;0.56;
0.8;0.7;0.68;0.54;0.66;0.6;0.62;0.62;0.64;0.66;0.64;0.52;0.64;0.4;0.66;0.6;0.8;0.58;0.64;0.5;0.6;0.76;0.74;0.72;0.66;0.66;0.66;0.46;0.6;0.7;
0.64;0.62;0.64;0.6;0.66;0.72;0.66;0.56;0.7;0.54;0.6;0.66;0.72;0.64;0.68;0.66;0.66;0.54;0.8;0.58;0.56;0.6;0.74;0.7;0.7;0.68;0.7;0.8;0.82;0.8;
0.72;0.7;0.74;0.72;0.7;0.74;0.72;0.7;0.82;0.66;0.6;0.72;0.78;0.78;0.6;0.78;0.7;0.7;0.6;0.8;0.68;0.68;0.56;0.68;0.66;0.84;0.78;0.88;0.58;0.8;
0.86;0.76;0.8;0.76;0.8;0.74;0.78;0.76;0.62;0.78;0.64;0.66;0.68;0.66;0.7;0.64;0.78;0.68;0.6;0.82;0.68;0.66;0.76;0.72;0.78;0.78;0.8;0.76;0.76;0.74;
0.74;0.76;0.84;0.62;0.76;0.8;0.78;0.76;0.72;0.84;0.8;0.68;0.76;0.72;0.8;0.72;0.82;0.8;0.78;0.76;0.76;0.72;0.74;0.8;0.84;0.8;0.72;0.78;0.64;0.84;
0.82;0.72;0.7;0.72;0.7;0.84;0.86;0.78;0.68;0.84;0.74;0.74;0.74;0.86;0.72;0.8;0.72;0.74;0.74;0.76;0.84;0.8;0.7;0.82;0.76;0.8;0.78;0.82;0.76;0.84;
0.72;0.86;0.84;0.8;0.78;0.74;0.78;0.74;0.76;0.8;0.8;0.86;0.84;0.88;0.8;0.78;0.84;0.8;0.66;0.66;0.92;0.78;0.88;0.8;0.86;0.78;0.76;0.82;0.86;0.76;
0.76;0.76;0.76;0.72;0.82;0.72;0.84;0.7;0.74;0.78;0.74;0.82;0.8;0.84;0.72;0.72;0.86;0.7;0.86;0.8;0.8;0.74;0.86;0.82;0.84;0.84;0.76;0.82;0.68;0.8;
0.68;0.78;0.9;0.7;0.82;0.86;0.9;0.86;0.7;0.86;0.84;0.84;0.82;0.82;0.84;0.8;0.78;0.72;0.78;0.86;0.78;0.7;0.78;0.82;0.82;0.8;0.84;0.88;0.76;0.88;
0.8;0.84;0.82;0.78;0.9;0.7;0.84;0.86;0.8;0.9;0.78;0.86;0.8;0.78;0.76;0.76;0.92;0.78;0.58;0.72;0.88;0.78;0.82;0.82;0.88;0.72;0.86;0.82;0.9;0.88;
0.86;0.9;0.78;0.8;0.76;0.8;0.8;0.84;0.88;0.9;0.76;0.72;0.74;0.8;0.7;0.86;0.88;0.8;0.82;0.94;0.8;0.84;0.82;0.82;0.78;0.78;0.78;0.9;0.8;0.84;
0.72;0.88;0.72;0.8;0.86;0.9;0.8;0.88;0.8;0.9;0.82;0.8;0.9;0.78;0.78;0.82;0.92;0.82;0.92;0.88;0.82;0.82;0.76;0.74;0.9;0.86;0.86;0.88;0.76;0.88;
0.9;0.78;0.76;0.86;0.9;0.72;0.92;0.84;0.82;0.8;0.82;0.78;0.74;0.9;0.84;0.82;0.82;0.78;0.74;0.78;0.72;0.86;0.8;0.94;0.84;0.92;0.82;0.88;0.86;0.82;
0.9;0.88;0.92;0.76;0.74;0.86;0.82;0.72;0.8;0.84;0.9;0.74;0.82;0.84;0.84;0.92;0.88;0.72;0.82;0.92;0.88;0.84;0.74;0.94;0.94;0.78;0.74;0.88;0.9;0.92;
0.84;0.82;0.86;0.84;0.82;0.86;0.9;0.82;0.72;0.8;0.8;0.76;0.88;0.94;0.92;0.86;0.9;0.76;0.74;0.96;0.88;0.8;0.86;0.88;0.86;0.8;0.78;0.9;0.88;0.92;
0.84;0.82;0.78;0.84;0.92;0.86;0.88;0.84;0.96;0.88;0.9;0.84;0.86;0.84;0.9;0.9;0.84;0.86;0.9;0.88;0.78;0.84;0.8;0.94;0.84;0.94;0.82;0.84;0.82;0.82;
0.94;0.82;0.76;0.84;0.86;0.86;0.9;0.84;0.7;0.96;0.78;0.8;0.86;0.88;0.86;0.82;0.92;0.82;0.78;0.92;0.82;0.86;0.8;0.98;0.94;0.86;0.8;0.92;0.9;0.92;
0.78;0.9;0.92;0.74;0.88;0.94;0.96;0.82;0.88;0.8;0.9;0.86;0.8;0.82;0.8;0.92;0.9;0.84;0.84;0.8;0.86;0.9;0.84;0.98;0.94;0.88;0.88;0.9;0.86;0.86;
0.82;0.82;0.86;0.8;0.88;0.82;0.88;0.9;0.96;0.84;0.86;0.82;0.88;0.94;0.78;0.84;0.88;0.8;0.74;0.88;0.86;0.82;0.78;0.86;0.88;0.84;0.9;0.96;0.7;0.86;
0.92;0.86;0.82;0.86;0.8;0.9;0.86;0.82;0.88;0.88;0.82;0.82;0.88;0.94;0.84;0.92;0.86;0.92;0.9;0.8;0.94;0.88;0.9;0.88;0.78;0.86;0.9;0.84;0.88;0.84;
0.86;0.9;0.96;0.82;0.82;0.8;0.9;0.82;0.88;0.88;0.78;0.82;0.92;0.96;0.78;0.9;0.88;0.82;0.86;0.92;0.88;0.84;0.82;0.9;0.84;0.82;0.9;0.82;0.84;0.94;
0.92;0.9;0.96;0.84;0.9;0.86;0.9;0.9;0.84;0.82;0.9;0.88;0.86;0.86;0.94;0.9;0.8;0.94;0.84;0.9;0.84;0.9;0.86;0.94;0.98;0.94;0.88;0.82;0.92;0.76;
0.9;0.9;0.9;0.84;0.9;0.9;0.96;0.82;0.9;0.86;0.86;0.82;0.78;0.84;0.86;0.9;0.82;0.76;0.88;0.92;0.94;0.8;0.9;0.88;0.94;0.92;0.88;0.88;0.92;0.92;
0.92;0.92;0.84;0.9;0.92;0.88;0.86;0.94;0.82;0.94;0.86;0.96;0.92;0.8;0.82;0.88;0.86;0.9;0.78;0.94;0.94;0.96;0.84;0.94;0.86;0.92;0.82;0.92;0.88;0.9;
0.98;0.92;0.94;0.84;0.9;0.84;0.9;0.88;0.88;0.88;0.94;0.9;0.92;0.94;0.94;0.96;0.9;0.9;0.88;0.88;0.8;0.84;0.92;0.88;0.88;0.94;0.84;0.9;0.86;0.92;
0.84;0.98;0.88;0.88;0.82;0.9;0.88;0.72;0.96;0.86;0.86;0.88;0.92;0.92;0.86;0.92;0.9;0.72;0.96;0.92;0.9;0.88;0.96;0.9;0.86;0.94;0.96;0.86;0.86;0.8;
